PERIOD_YEAR,SEGMENT1,SEGMENT2,DPB,SEGMENT4,SEGMENT5,FF,COG,NOMBRE_DEL_ORGANISMO,ENTE,CC,DESCRIPCION_FF,ORIGEN,SEGMENT7,SEGMENT8,SEGMENT9,ESTATUS,IMPORTE,EJERCIDO_ACUM,AUTORIZADO,ADECUACIONES,MODIFICADO,SECTOR,ADEC_ENE,ADEC_FEB,ADEC_MAR,ADEC_ABR,ADEC_MAY,ADEC_JUN,ADEC_JUL,ADEC_AGO,ADEC_SEP,ADEC_OCT,ADEC_NOV,ADEC_DIC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,5414011,DPB,69915R003361,136,EF2,541,INSTITUTO ELECTORAL DEL ESTADO DE QUERETARO,IEEQ,Y100,RAMO28. PARTICIPACIONES FEDERALES 2022,Estatal,S,1,52110,AUTORIZADO,0,0,0,0,0,AUTONOMOS,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,5414011,DPB,69915R003361,136,F23,541,INSTITUTO ELECTORAL DEL ESTADO DE QUERETARO,IEEQ,Y100,RAMO 28 PARTICIPACIONES FEDERALES 2023,Estatal,S,1,52110,AUTORIZADO,60678596,0,60678596,0,0,AUTONOMOS,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
